top - 11:40:14 up 4 days, 14:29,  2 users,  load average: 0.63, 0.56, 0.49
Threads: 296 total,   1 running, 295 sleeping,   0 stopped,   0 zombie
%Cpu(s): 44.7 us,  1.5 sy,  0.0 ni, 53.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  32723396 total, 32452020 used,   271376 free,   482144 buffers
KiB Swap:  8388604 total,    55952 used,  8332652 free. 11876896 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
106112 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:49.69 java
106114 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.22 java
106116 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.94 java
106117 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.27 java
106118 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.93 java
106119 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.70 java
106129 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.49 java
106130 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.26 java
106132 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.26 java
106134 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.12 java
106136 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:12.34 java
106137 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   1:49.85 java
106144 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.27 java
106147 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:15.68 java
106148 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   2:26.08 java
106153 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.27 java
106155 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:26.83 java
106192 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.03 java
106193 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.04 java
106195 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.26 java
106208 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:44.96 java
106209 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   1:18.52 java
106211 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:30.88 java
106213 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   1:42.30 java
106215 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.26 java
106230 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:18.63 java
106231 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:07.17 java
106232 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:29.28 java
106233 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.47 java
106234 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:06.78 java
106235 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.56 java
106236 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.76 java
106237 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.32 java
106238 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.75 java
106239 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.04 java
106240 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.44 java
106241 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.55 java
