top - 15:10:23 up 27 days, 12:51,  1 user,  load average: 8.91, 8.91, 9.00
Threads: 695 total,  12 running, 683 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.6 us,  0.7 sy,  0.0 ni, 91.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 26403688+total, 13389056+free, 46825504 used, 83320816 buff/cache
KiB Swap:  5996540 total,  5996540 free,        0 used. 21317566+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 12684 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  54:01.31 java
 12688 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  63:02.43 java
 12716 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.17 java
 12717 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 12718 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 656:21.58 java
 12719 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 654:14.99 java
 12721 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 656:30.59 java
 12722 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 656:08.00 java
 12725 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 657:36.56 java
 12726 jira      20   0 60.196g 0.038t 4.782g R  0.0 15.4 655:04.00 java
 12727 jira      20   0 60.196g 0.038t 4.782g R  0.0 15.4 655:38.98 java
 12728 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 654:16.17 java
 12729 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 656:58.67 java
 12730 jira      20   0 60.196g 0.038t 4.782g R  0.0 15.4 656:21.33 java
 12731 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  68:31.21 java
 12732 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  68:09.40 java
 12733 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  68:38.69 java
 12734 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  67:36.45 java
 12735 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  68:06.67 java
 12739 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 12776 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:44.01 java
 12954 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.28 java
 12976 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 12986 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 12987 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  26:54.29 java
 13477 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.08 java
